Traceback (most recent call last):
  File "demo_detectron2_deepsort.py", line 6, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'
[5m[31mWARNING[0m [32m[06/11 23:29:32 d2.config.compat]: [0mConfig 'detectron2/configs/COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml' has no VERSION. Assuming it to be compatible with latest v2.
Loading weights from deep_sort/deep/checkpoint/ckpt.t7... Done!
time: 4.915539264678955s, fps: 0.2034364789201439
time: 4.863340616226196s, fps: 0.20561997995031847
time: 4.599414110183716s, fps: 0.217418996429538
time: 4.640713453292847s, fps: 0.2154841082227225
time: 4.513091564178467s, fps: 0.2215776005825473
time: 5.126056909561157s, fps: 0.19508172024676373
time: 4.76455283164978s, fps: 0.20988328502881531
time: 4.858543872833252s, fps: 0.2058229844525108
time: 5.1142258644104s, fps: 0.195533014480049
time: 5.316728353500366s, fps: 0.1880855920242063
time: 5.168324947357178s, fps: 0.1934862862118122
time: 4.63256573677063s, fps: 0.21586309980721435
time: 5.369106292724609s, fps: 0.18625073624544308
time: 4.80387020111084s, fps: 0.20816549118432914
time: 5.090767860412598s, fps: 0.19643402084316447
time: 4.896285533905029s, fps: 0.20423645497701412
time: 5.510846376419067s, fps: 0.18146032962903916
time: 4.946980953216553s, fps: 0.20214349104170187
time: 5.1834681034088135s, fps: 0.19292102894245036
time: 5.236981153488159s, fps: 0.1909497037876367
time: 4.767507553100586s, fps: 0.20975320728115934
time: 5.522616147994995s, fps: 0.18107360229319097
time: 5.192931890487671s, fps: 0.19256944267491433
time: 5.102581262588501s, fps: 0.19597924041541037
time: 5.237279891967773s, fps: 0.19093881186943318
time: 5.169222116470337s, fps: 0.1934527047723039
time: 5.052846670150757s, fps: 0.1979082416862976
time: 4.987731218338013s, fps: 0.20049195841254958
time: 5.291917562484741s, fps: 0.18896741836818504
time: 5.233790159225464s, fps: 0.19106612408549212
time: 5.517414093017578s, fps: 0.18124432626246495
time: 5.0443665981292725s, fps: 0.19824094473443996
time: 5.006774187088013s, fps: 0.19972939913665438
time: 4.807963848114014s, fps: 0.20798825273868543
time: 4.9112303256988525s, fps: 0.20361496685816768
time: 4.787790060043335s, fps: 0.2088646301235165
time: 5.0645012855529785s, fps: 0.19745280800946877
time: 5.041306972503662s, fps: 0.1983612593825784
time: 5.550190687179565s, fps: 0.18017398975316448
time: 5.011337518692017s, fps: 0.19954752524052796
time: 4.730442762374878s, fps: 0.21139670221862247
time: 5.158259868621826s, fps: 0.1938638272342758
time: 5.219646692276001s, fps: 0.1915838482860906
time: 4.663925647735596s, fps: 0.21441165137045326
time: 5.046031475067139s, fps: 0.19817553753698985
time: 4.772571086883545s, fps: 0.20953066634215248
time: 5.165697336196899s, fps: 0.19358470597819077
time: 5.025065660476685s, fps: 0.19900237480780275
time: 4.716645240783691s, fps: 0.21201509737328594
